gvkey,iid,datadate,tic,conm,prccd,fyrc
002403,01,11/02/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.2300,12
002403,01,11/03/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.2200,12
002403,01,11/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.6800,12
002403,01,11/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.9100,12
002403,01,11/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.5800,12
002403,01,11/09/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.9900,12
002403,01,11/10/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.8600,12
002403,01,11/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.9900,12
002403,01,11/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.2500,12
002403,01,11/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.0700,12
002403,01,11/16/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.8700,12
002403,01,11/17/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.3200,12
002403,01,11/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.8000,12
002403,01,11/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.2400,12
002403,01,11/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.1400,12
002403,01,11/24/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.4300,12
002403,01,11/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.6100,12
002403,01,11/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.5200,12
002403,01,11/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.9000,12
002403,01,11/30/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.1900,12
002403,01,12/01/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.2400,12
002403,01,12/04/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4700,12
002403,01,12/05/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.0200,12
002403,01,12/06/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.9700,12
002403,01,12/07/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.8400,12
002403,01,12/08/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4200,12
002403,01,12/11/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.0200,12
002403,01,12/12/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.2800,12
002403,01,12/13/2017,BMY,BRISTOL-MYERS SQUIBB CO,63.4700,12
002403,01,12/14/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.1300,12
002403,01,12/15/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4100,12
002403,01,12/18/2017,BMY,BRISTOL-MYERS SQUIBB CO,62.4000,12
002403,01,12/19/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.5600,12
002403,01,12/20/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.2000,12
002403,01,12/21/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.5000,12
002403,01,12/22/2017,BMY,BRISTOL-MYERS SQUIBB CO,60.9600,12
002403,01,12/26/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.2600,12
002403,01,12/27/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.6800,12
002403,01,12/28/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.7700,12
002403,01,12/29/2017,BMY,BRISTOL-MYERS SQUIBB CO,61.2800,12
002403,01,01/02/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.3100,12
002403,01,01/03/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.3600,12
002403,01,01/04/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.7500,12
002403,01,01/05/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.8900,12
002403,01,01/08/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.9100,12
002403,01,01/09/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.8500,12
002403,01,01/10/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.0100,12
002403,01,01/11/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.4700,12
002403,01,01/12/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.8100,12
002403,01,01/16/2018,BMY,BRISTOL-MYERS SQUIBB CO,59.9200,12
002403,01,01/17/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.8500,12
002403,01,01/18/2018,BMY,BRISTOL-MYERS SQUIBB CO,61.8300,12
002403,01,01/19/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.2800,12
002403,01,01/22/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.2800,12
002403,01,01/23/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.4300,12
002403,01,01/24/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.7600,12
002403,01,01/25/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.5200,12
002403,01,01/26/2018,BMY,BRISTOL-MYERS SQUIBB CO,64.2500,12
002403,01,01/29/2018,BMY,BRISTOL-MYERS SQUIBB CO,64.4300,12
002403,01,01/30/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.9600,12
002403,01,01/31/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.6000,12
002403,01,02/01/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.8000,12
002403,01,02/02/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.4800,12
002403,01,02/05/2018,BMY,BRISTOL-MYERS SQUIBB CO,60.9600,12
002403,01,02/06/2018,BMY,BRISTOL-MYERS SQUIBB CO,60.9000,12
002403,01,02/07/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.6300,12
002403,01,02/08/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.6900,12
002403,01,02/09/2018,BMY,BRISTOL-MYERS SQUIBB CO,62.7000,12
002403,01,02/12/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.1600,12
002403,01,02/13/2018,BMY,BRISTOL-MYERS SQUIBB CO,63.8700,12
002403,01,02/14/2018,BMY,BRISTOL-MYERS SQUIBB CO,65.3500,12
002403,01,02/15/2018,BMY,BRISTOL-MYERS SQUIBB CO,68.9800,12
002403,01,02/16/2018,BMY,BRISTOL-MYERS SQUIBB CO,68.9600,12
002403,01,02/20/2018,BMY,BRISTOL-MYERS SQUIBB CO,67.3500,12
002403,01,02/21/2018,BMY,BRISTOL-MYERS SQUIBB CO,66.5300,12
002403,01,02/22/2018,BMY,BRISTOL-MYERS SQUIBB CO,65.9400,12
002403,01,02/23/2018,BMY,BRISTOL-MYERS SQUIBB CO,67.9500,12
002403,01,02/26/2018,BMY,BRISTOL-MYERS SQUIBB CO,68.6300,12
